run,step,mean_return,point_type
Model-based RL (PETS/MPC estimate),80000.0,-0.1390337198972702,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),120000.0,-0.39869827032089233,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),160000.0,-0.656326949596405,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),200000.0,-1.0285453796386719,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),240000.0,-1.4069318771362305,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),280000.0,-1.8691149950027466,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),320000.0,-2.2261834144592285,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),360000.0,-2.465388774871826,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),400000.0,-2.6212258338928223,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),440000.0,-2.830261707305908,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),480000.0,-3.0918209552764893,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),520000.0,-3.34688401222229,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),560000.0,-3.5842857360839844,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),600000.0,-3.9003889560699463,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),640000.0,-4.212281227111816,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),680000.0,-4.536074161529541,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),720000.0,-4.868565559387207,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),760000.0,-5.2552032470703125,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),800000.0,-5.623566627502441,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),840000.0,-6.004148483276367,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),880000.0,-6.385685920715332,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),920000.0,-6.75410270690918,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),960000.0,-7.120971202850342,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1000000.0,-7.474357604980469,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1040000.0,-7.850276947021484,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1080000.0,-8.175143241882324,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1120000.0,-8.49521541595459,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1160000.0,-8.869709968566895,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1200000.0,-9.286843299865723,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1240000.0,-9.650971412658691,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1280000.0,-10.029792785644531,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1320000.0,-10.423395156860352,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1360000.0,-10.82491397857666,estimated_scaled_episode_curve
Model-based RL (PETS/MPC estimate),1400000.0,-11.238542556762695,estimated_scaled_episode_curve
