Wall time,Step,Value
1774377328.8737562,0,-162.4176025390625
1774382175.7653053,3276800,-148.8310546875
1774386900.0593734,6553600,-51.62824249267578
1774391642.6964583,9830400,-46.23082733154297
1774396387.7345533,13107200,-47.290122985839844
1774401120.4625144,16384000,41.63793182373047
1774405867.4728544,19660800,75.32444763183594
1774410635.6192188,22937600,34.158145904541016
1774415394.2690148,26214400,58.39888000488281
1774420158.1955388,29491200,46.2952995300293
1774424922.2448137,32768000,100.44570922851562
1774429705.3347874,36044800,105.86911010742188
1774434485.193795,39321600,98.09136962890625
1774439272.6874304,42598400,136.47274780273438
1774444038.3643925,45875200,76.71055603027344
1774448815.523514,49152000,103.09620666503906
1774453589.0569592,52428800,70.61299896240234
1774458371.344612,55705600,72.50991821289062
1774463153.4945157,58982400,91.65170288085938
1774467930.868056,62259200,66.8570556640625
