Wall time,Step,Value
1774383971.7608085,0,-111.0680923461914
1774386151.7306478,3220480,-2.374570846557617
1774388170.9819958,6375424,90.39005279541016
1774390202.4114883,9530368,47.937286376953125
1774392233.800375,12685312,64.81572723388672
1774394262.7846425,15840256,81.68931579589844
1774396285.255897,18995200,80.12716674804688
1774398308.003581,22150144,61.61996078491211
1774400333.9100664,25305088,16.926292419433594
1774402360.9157166,28460032,55.88386917114258
1774404385.2515085,31614976,31.030364990234375
1774406416.60723,34769920,40.13574981689453
1774408442.394782,37924864,87.2684326171875
1774410475.8472831,41079808,17.6080379486084
1774412498.7518644,44234752,60.29045104980469
1774414528.2093034,47389696,16.95242691040039
1774416554.2909927,50544640,19.03791618347168
1774418571.2396603,53699584,17.31139373779297
1774420596.7644947,56854528,10.866212844848633
1774422617.0406723,60009472,-2.964754104614258
